Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod
23-02-2023,East,Laptop,14,163.6,Store B,Wholesale,0,Eva,2290.4,Online
19-12-2024,South,Phone,1,544.01,Store A,Retail,0,Alice,544.01,Gift Card
10-05-2023,North,Desk,14,346.18,Store B,Wholesale,0.1,Alice,4361.868,Online
26-02-2025,Central,Chair,18,384.82,Store A,Wholesale,0.15,Frank,5887.746,Gift Card
24-06-2023,East,Desk,18,237.76,Store C,Retail,0,Carlos,4279.68,Online
20-02-2024,Central,Monitor,2,385.09,Store D,Wholesale,0.15,Diana,654.653,Credit Card
11-01-2023,South,Chair,7,17.5,Store C,Retail,0.1,Alice,110.25,Debit Card
09-01-2023,Central,Chair,3,330.22,Store C,Wholesale,0.15,Carlos,842.061,Cash
16-10-2024,South,Chair,3,432.04,Store D,Wholesale,0.05,Bob,1231.314,Debit Card
05-03-2025,West,Desk,5,323.28,Store D,Retail,0.1,Frank,1454.76,Gift Card
10-04-2024,North,Desk,15,523.29,Store B,Wholesale,0.15,Eva,6671.9475,Debit Card
12-07-2024,East,Phone,19,207.35,Store D,Retail,0.1,Eva,3545.685,Gift Card
21-07-2023,Central,Phone,1,120.53,Store B,Retail,0.05,Diana,114.5035,Cash
18-01-2025,West,Tablet,1,157.83,Store A,Wholesale,0.15,Carlos,134.1555,Debit Card
08-12-2024,North,Desk,15,220.3,Store B,Retail,0.15,Diana,2808.825,Debit Card
11-05-2025,West,Chair,17,162.96,Store A,Wholesale,0.05,Eva,2631.804,Gift Card
26-02-2023,West,Laptop,19,236.11,Store D,Wholesale,0,Bob,4486.09,Online
28-05-2024,Central,Desk,11,573.14,Store D,Retail,0.05,Diana,5989.313,Cash
30-11-2023,East,Phone,20,519.04,Store B,Retail,0.15,Carlos,8823.68,Gift Card
22-06-2023,West,Desk,14,30.83,Store B,Retail,0,Carlos,431.62,Online
05-06-2025,West,Phone,10,319.05,Store D,Wholesale,0,Diana,3190.5,Online
03-03-2023,Central,Chair,14,312.79,Store A,Retail,0.05,Bob,4160.107,Online
18-02-2024,North,Laptop,14,395.45,Store C,Retail,0,Carlos,5536.3,Cash
06-08-2023,Central,Laptop,12,472.72,Store D,Retail,0.15,Diana,4821.744,Credit Card
23-05-2024,North,Desk,5,288.01,Store A,Wholesale,0,Eva,1440.05,Credit Card
23-10-2023,East,Phone,13,562.29,Store D,Retail,0,Diana,7309.77,Gift Card
16-06-2025,West,Phone,1,101.73,Store D,Retail,0,Frank,101.73,Debit Card
03-03-2023,North,Phone,4,279.49,Store B,Retail,0,Diana,1117.96,Credit Card
18-11-2024,South,Laptop,1,178.55,Store A,Retail,0.15,Carlos,151.7675,Debit Card
09-05-2023,Central,Tablet,1,472.07,Store A,Wholesale,0.1,Carlos,424.863,Online
07-12-2024,North,Tablet,12,306.29,Store D,Retail,0,Frank,3675.48,Debit Card
13-02-2024,North,Phone,7,434.77,Store C,Retail,0.15,Frank,2586.8815,Online
09-03-2025,South,Desk,6,64.98,Store C,Retail,0,Carlos,389.88,Debit Card
05-04-2023,Central,Desk,17,476.49,Store D,Retail,0,Alice,8100.33,Gift Card
08-05-2025,North,Monitor,4,559.72,Store D,Retail,0.15,Diana,1903.048,Online
03-09-2023,North,Tablet,14,82.14,Store C,Retail,0,Alice,1149.96,Credit Card
21-03-2025,Central,Chair,9,343.21,Store A,Retail,0.05,Carlos,2934.4455,Debit Card
20-06-2025,South,Chair,7,301.01,Store B,Retail,0.15,Diana,1791.0095,Cash
15-02-2024,Central,Printer,14,428.13,Store C,Retail,0.1,Bob,5394.438,Cash
09-06-2023,Central,Laptop,2,503.28,Store D,Retail,0.15,Alice,855.576,Gift Card
10-08-2023,South,Printer,5,470.32,Store A,Retail,0.1,Eva,2116.44,Debit Card
16-06-2024,Central,Printer,20,65.17,Store C,Wholesale,0.05,Eva,1238.23,Gift Card
23-07-2023,South,Laptop,12,36.17,Store A,Retail,0,Eva,434.04,Online
